,img_name,noise_scale,corr,noise_idx,mat_filename,mat_key
130,imk00135.iml,0.1,0.9606646713119753,0,imk00135.iml.mat,noise_0
131,imk00135.iml,0.2,0.9767662622541725,1,imk00135.iml.mat,noise_1
132,imk00135.iml,0.5,0.9766406409400105,2,imk00135.iml.mat,noise_2
133,imk00135.iml,0.8,0.9767231851090559,3,imk00135.iml.mat,noise_3
134,imk00135.iml,1.0,0.9765920740726427,4,imk00135.iml.mat,noise_4
135,imk00733.iml,0.1,0.9907803433647024,0,imk00733.iml.mat,noise_0
136,imk00733.iml,0.2,0.9907777058017041,1,imk00733.iml.mat,noise_1
137,imk00733.iml,0.5,0.9908027212585826,2,imk00733.iml.mat,noise_2
138,imk00733.iml,0.8,0.9906995589709426,3,imk00733.iml.mat,noise_3
139,imk00733.iml,1.0,0.9906316888538312,4,imk00733.iml.mat,noise_4
145,imk00295.iml,0.1,0.9786681104663516,0,imk00295.iml.mat,noise_0
146,imk00295.iml,0.2,0.9785861404894183,1,imk00295.iml.mat,noise_1
147,imk00295.iml,0.5,0.9787029014280899,2,imk00295.iml.mat,noise_2
148,imk00295.iml,0.8,0.9596807140823624,3,imk00295.iml.mat,noise_3
149,imk00295.iml,1.0,0.9602529713245522,4,imk00295.iml.mat,noise_4
150,imk00256.iml,0.1,0.9509660614139953,0,imk00256.iml.mat,noise_0
151,imk00256.iml,0.2,0.9501210302093039,1,imk00256.iml.mat,noise_1
152,imk00256.iml,0.5,0.9505255831328702,2,imk00256.iml.mat,noise_2
153,imk00256.iml,0.8,0.9505240828239804,3,imk00256.iml.mat,noise_3
154,imk00256.iml,1.0,0.9502577932896614,4,imk00256.iml.mat,noise_4
165,imk04123.iml,0.1,0.9550194618842053,0,imk04123.iml.mat,noise_0
166,imk04123.iml,0.2,0.9530798350477344,1,imk04123.iml.mat,noise_1
167,imk04123.iml,0.5,0.9526345539144526,2,imk04123.iml.mat,noise_2
168,imk04123.iml,0.8,0.9528848809781484,3,imk04123.iml.mat,noise_3
169,imk04123.iml,1.0,0.9528893455306916,4,imk04123.iml.mat,noise_4
170,imk03670.iml,0.1,0.9760999561673791,0,imk03670.iml.mat,noise_0
171,imk03670.iml,0.2,0.9760373058152966,1,imk03670.iml.mat,noise_1
172,imk03670.iml,0.5,0.9758369909362398,2,imk03670.iml.mat,noise_2
173,imk03670.iml,0.8,0.9760508553379884,3,imk03670.iml.mat,noise_3
174,imk03670.iml,1.0,0.9759250850719844,4,imk03670.iml.mat,noise_4
175,imk00147.iml,0.1,0.9783117309750093,0,imk00147.iml.mat,noise_0
176,imk00147.iml,0.2,0.9780214875260099,1,imk00147.iml.mat,noise_1
177,imk00147.iml,0.5,0.9779166904694918,2,imk00147.iml.mat,noise_2
178,imk00147.iml,0.8,0.9782596137838636,3,imk00147.iml.mat,noise_3
179,imk00147.iml,1.0,0.9626024716175062,4,imk00147.iml.mat,noise_4
185,imk00225.iml,0.1,0.9645782441955439,0,imk00225.iml.mat,noise_0
186,imk00225.iml,0.2,0.9789031550973923,1,imk00225.iml.mat,noise_1
187,imk00225.iml,0.5,0.9792520950268561,2,imk00225.iml.mat,noise_2
